id,email_encrypted,phone_number_encrypted,created_at,cpf_encrypted,crm_activity_id,active
1,alvesyan@example.org,+55 71 6184 9593,2022-06-04 21:21:59.316978,832.714.065-53,1654,True
2,joao-lucassousa@example.org,+55 (084) 0341 3164,2022-07-13 12:29:37.105453,701.269.835-77,1114,False
3,pastorlavinia@example.org,(051) 5255-3419,2025-04-27 12:33:04.251691,179.648.523-37,1025,True
4,borgespedro-henrique@example.org,+55 (041) 8327-6483,2024-11-19 15:55:11.253492,824.763.190-31,1759,True
5,novaismiguel@example.net,(061) 0305 6413,2021-06-20 16:32:23.438415,465.398.072-10,1281,True
6,ccamara@example.net,0300 537 6724,2022-10-17 00:12:37.372432,150.469.872-01,1250,True
7,anthony-gabriel26@example.com,+55 84 3884 9696,2020-12-30 00:37:47.766429,031.926.785-77,1228,True
8,leonardo35@example.org,21 3287 1012,2025-02-02 14:19:34.250276,382.546.901-89,1142,True
9,garciagael@example.com,+55 (031) 6916-6978,2024-11-08 19:03:09.222488,631.058.274-71,1754,True
10,vinicius07@example.net,+55 61 8018-4514,2021-08-31 02:52:26.656929,701.832.654-08,1104,False
